f_number,reference_height_fraction,frequency_lp_mm,direction,reference,model,model_minus_reference,sampling
8,0.6,20,T,0.145,0.11546385820624987,-0.029536141793750123,512
8,0.6,20,S,0.275,0.3613065193042112,0.08630651930421118,512
8,0.68,5,T,0.46,0.5603318783804911,0.10033187838049112,512
8,0.68,5,S,0.49,0.5629115135534609,0.07291151355346093,512
8,0.68,10,T,0.275,0.34776560712556426,0.07276560712556424,512
8,0.68,10,S,0.33,0.47093691236711843,0.14093691236711842,512
8,0.68,20,T,0.13,0.14458390556700063,0.014583905567000621,512
8,0.68,20,S,0.215,0.3335014736393837,0.11850147363938371,512
8,0.7,5,T,0.44,0.5425198536167701,0.10251985361677013,512
8,0.7,5,S,0.47,0.5554825823593085,0.0854825823593085,512
8,0.7,10,T,0.26,0.3434439305977449,0.08344393059774491,512
8,0.7,10,S,0.305,0.4565775296785971,0.1515775296785971,512
8,0.7,20,T,0.12,0.14730185116657257,0.027301851166572577,512
8,0.7,20,S,0.2,0.32696325376364993,0.12696325376364992,512
8,0.78,5,T,0.36,0.4683582337969552,0.1083582337969552,512
8,0.78,5,S,0.4,0.5148833698566027,0.11488336985660264,512
8,0.78,10,T,0.205,0.2960420128842265,0.0910420128842265,512
8,0.78,10,S,0.255,0.42020448429456825,0.16520448429456824,512
8,0.78,20,T,0.075,0.14073297087391168,0.06573297087391168,512
8,0.78,20,S,0.155,0.3081980170797435,0.15319801707974348,512
22,0,5,T,0.91,0.9120253905336748,0.002025390533674787,512
22,0,5,S,0.91,0.9120253905336748,0.002025390533674787,512
22,0,10,T,0.83,0.8098129396054004,-0.02018706039459961,512
22,0,10,S,0.83,0.8098129396054004,-0.02018706039459961,512
22,0,20,T,0.67,0.6119957127935817,-0.05800428720641837,512
22,0,20,S,0.67,0.6119957127935817,-0.05800428720641837,512
22,0.1,5,T,0.91,0.9129337355227741,0.0029337355227740947,512
22,0.1,5,S,0.91,0.9140482411751057,0.004048241175105716,512
22,0.1,10,T,0.815,0.8145616067274337,-0.00043839327256622873,512
22,0.1,10,S,0.83,0.8168646341625272,-0.013135365837472768,512
22,0.1,20,T,0.645,0.6222375493989277,-0.022762450601072293,512
22,0.1,20,S,0.665,0.6283755785830308,-0.0366244214169692,512
22,0.2,5,T,0.9,0.9101264106712521,0.010126410671252084,512
22,0.2,5,S,0.91,0.9174861813005977,0.0074861813005976385,512
22,0.2,10,T,0.79,0.8112449050154775,0.02124490501547749,512
22,0.2,10,S,0.825,0.8297124457879563,0.004712445787956376,512
