f_number,reference_height_fraction,frequency_lp_mm,direction,reference,model,model_minus_reference,sampling
22,0.9,10,T,0.345,0.29501390329415494,-0.04998609670584503,512
22,0.9,10,S,0.57,0.7201755679755051,0.15017556797550513,512
22,0.9,20,T,0.03,0.029934109724817814,-6.589027518218507e-05,512
22,0.9,20,S,0.28,0.469926561006273,0.18992656100627298,512
22,1,5,T,0.44,0.44857672981110525,0.008576729811105244,512
22,1,5,S,0.74,0.8423663123360033,0.10236631233600335,512
22,1,10,T,0.2,0.186075394981765,-0.013924605018235003,512
22,1,10,S,0.485,0.6760208328735853,0.1910208328735853,512
22,1,20,T,0.03,0.0028301419032431946,-0.027169858096756806,512
22,1,20,S,0.225,0.41818194135583825,0.19318194135583824,512
